exam,year,session,date,shift,paper,paper_number,language,pdf_type,answer_key_file,question_paper_file,local_path,page_count,file_size
JEE_ADVANCED,2010,,,,Paper 1,1,Bilingual,Question Paper,,2010\Paper-1\Question-Paper\JEE_Advanced_2010_Paper-1.pdf,2010\Paper-1\Question-Paper\JEE_Advanced_2010_Paper-1.pdf,24,816471
JEE_ADVANCED,2010,,,,Paper 2,2,Bilingual,Question Paper,,2010\Paper-2\Question-Paper\JEE_Advanced_2010_Paper-2.pdf,2010\Paper-2\Question-Paper\JEE_Advanced_2010_Paper-2.pdf,22,1068003
JEE_ADVANCED,2011,,,,Paper 1,1,Bilingual,Question Paper,,2011\Paper-1\Question-Paper\JEE_Advanced_2011_Paper-1.pdf,2011\Paper-1\Question-Paper\JEE_Advanced_2011_Paper-1.pdf,30,702119
JEE_ADVANCED,2011,,,,Paper 2,2,Bilingual,Question Paper,,2011\Paper-2\Question-Paper\JEE_Advanced_2011_Paper-2.pdf,2011\Paper-2\Question-Paper\JEE_Advanced_2011_Paper-2.pdf,26,737442
JEE_ADVANCED,2012,,,,Paper 1,1,Bilingual,Question Paper,,2012\Paper-1\Question-Paper\JEE_Advanced_2012_Paper-1.pdf,2012\Paper-1\Question-Paper\JEE_Advanced_2012_Paper-1.pdf,24,1349324
JEE_ADVANCED,2012,,,,Paper 2,2,Bilingual,Question Paper,,2012\Paper-2\Question-Paper\JEE_Advanced_2012_Paper-2.pdf,2012\Paper-2\Question-Paper\JEE_Advanced_2012_Paper-2.pdf,31,1711910
JEE_ADVANCED,2013,,,,Paper 1,1,Bilingual,Question Paper,,2013\Paper-1\Question-Paper\JEE_Advanced_2013_Paper-1.pdf,2013\Paper-1\Question-Paper\JEE_Advanced_2013_Paper-1.pdf,40,1909990
JEE_ADVANCED,2013,,,,Paper 2,2,Bilingual,Question Paper,,2013\Paper-2\Question-Paper\JEE_Advanced_2013_Paper-2.pdf,2013\Paper-2\Question-Paper\JEE_Advanced_2013_Paper-2.pdf,40,2590054
JEE_ADVANCED,2014,,,,Paper 1,1,Bilingual,Question Paper,,2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,2014\Paper-1\Question-Paper\JEE_Advanced_2014_Paper-1.pdf,25,324329
JEE_ADVANCED,2014,,,,Paper 2,2,Bilingual,Question Paper,,2014\Paper-2\Question-Paper\JEE_Advanced_2014_Paper-2.pdf,2014\Paper-2\Question-Paper\JEE_Advanced_2014_Paper-2.pdf,38,565693
JEE_ADVANCED,2015,,,,Paper 1,1,Bilingual,Question Paper,,2015\Paper-1\Question-Paper\JEE_Advanced_2015_Paper-1.pdf,2015\Paper-1\Question-Paper\JEE_Advanced_2015_Paper-1.pdf,29,1640139
JEE_ADVANCED,2015,,,,Paper 2,2,Bilingual,Question Paper,,2015\Paper-2\Question-Paper\JEE_Advanced_2015_Paper-2.pdf,2015\Paper-2\Question-Paper\JEE_Advanced_2015_Paper-2.pdf,29,1585299
JEE_ADVANCED,2016,,,,Paper 1,1,Bilingual,Question Paper,,2016\Paper-1\Question-Paper\JEE_Advanced_2016_Paper-1.pdf,2016\Paper-1\Question-Paper\JEE_Advanced_2016_Paper-1.pdf,29,3006394
JEE_ADVANCED,2016,,,,Paper 2,2,Bilingual,Question Paper,,2016\Paper-2\Question-Paper\JEE_Advanced_2016_Paper-2.pdf,2016\Paper-2\Question-Paper\JEE_Advanced_2016_Paper-2.pdf,29,3447124
JEE_ADVANCED,2017,,,,Paper 1,1,Bilingual,Question Paper,,2017\Paper-1\Question-Paper\JEE_Advanced_2017_Paper-1.pdf,2017\Paper-1\Question-Paper\JEE_Advanced_2017_Paper-1.pdf,32,10132054
JEE_ADVANCED,2017,,,,Paper 2,2,Bilingual,Question Paper,,2017\Paper-2\Question-Paper\JEE_Advanced_2017_Paper-2.pdf,2017\Paper-2\Question-Paper\JEE_Advanced_2017_Paper-2.pdf,32,11830566
